t,area,f0_x,f0_y,f0_z,f0_n,f0_mag,f2_x,f2_y,f2_z,f2_n,f2_mag
2.870956e-03, 7.074429e-04,-1.359444e+05,-1.741703e+05,-9.324128e+02,-2.323562e+05,2.209458e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.880516e-03, 7.038002e-04,-1.364106e+05,-1.746998e+05,-4.675203e+02,-2.331005e+05,2.216486e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.890072e-03, 6.835561e-04,-1.367387e+05,-1.705482e+05,-2.628338e+01,-2.301206e+05,2.185959e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.900685e-03, 7.005479e-04,-1.392089e+05,-1.757434e+05,6.790476e+01,-2.356712e+05,2.241983e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.910231e-03, 6.757314e-04,-1.374051e+05,-1.695601e+05,3.683419e+02,-2.293363e+05,2.182451e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.920832e-03, 6.978799e-04,-1.400806e+05,-1.758319e+05,2.974483e+02,-2.360475e+05,2.248100e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.930368e-03, 6.508448e-04,-1.322341e+05,-1.667206e+05,2.203073e+02,-2.232347e+05,2.127949e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.940959e-03, 6.987297e-04,-1.397238e+05,-1.773812e+05,1.119997e+02,-2.365049e+05,2.258027e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.950486e-03, 6.991179e-04,-1.407181e+05,-1.776761e+05,2.221007e+01,-2.374019e+05,2.266504e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.960011e-03, 6.995147e-04,-1.425832e+05,-1.791254e+05,8.005280e+01,-2.396513e+05,2.289452e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.970592e-03, 6.926900e-04,-1.413299e+05,-1.758289e+05,-5.907683e+02,-2.361826e+05,2.255888e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.980111e-03, 6.930914e-04,-1.423195e+05,-1.770997e+05,-4.506370e+02,-2.375393e+05,2.271989e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2.990686e-03, 6.935355e-04,-1.429414e+05,-1.771006e+05,-4.346778e+02,-2.379837e+05,2.275896e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.000201e-03, 6.939441e-04,-1.440173e+05,-1.778920e+05,-2.476519e+02,-2.392384e+05,2.288812e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.010771e-03, 7.111135e-04,-1.470251e+05,-1.833917e+05,-1.727661e+02,-2.454770e+05,2.350509e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.020283e-03, 7.115418e-04,-1.481456e+05,-1.849268e+05,-8.599291e+01,-2.471412e+05,2.369494e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.030849e-03, 7.119910e-04,-1.487811e+05,-1.853617e+05,-6.065707e+01,-2.478931e+05,2.376863e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.040357e-03, 7.124084e-04,-1.507499e+05,-1.869763e+05,2.592687e+02,-2.502960e+05,2.401785e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.050920e-03, 7.128499e-04,-1.521447e+05,-1.878839e+05,-1.202089e+02,-2.521042e+05,2.417610e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.060425e-03, 7.132612e-04,-1.536570e+05,-1.896281e+05,-5.061134e+02,-2.543237e+05,2.440688e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.070985e-03, 7.137278e-04,-1.549877e+05,-1.915111e+05,-7.533417e+02,-2.565015e+05,2.463701e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.080488e-03, 7.141399e-04,-1.562173e+05,-1.931884e+05,-8.068536e+02,-2.584811e+05,2.484477e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3.091045e-03, 7.146014e-04,-1.563165e+05,-1.940346e+05,-4.067541e+02,-2.591039e+05,2.491675e+05,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
